id,rating,pop,desc,director,writer,star
1239,5.7|29K,"3,301|up|2,977",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,Renny Harlin,Michael Frost Beckner|James Gorman|Bruce A. Evans,Geena Davis|Matthew Modine|Frank Langella
1240,7.9|147K,"2,662|down|113",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,Mamoru Oshii,Shirow Masamune|Kazunori Itô,Atsuko Tanaka|Iemasa Kayumi|Akio Ôtsuka
1241,6.7|4.7K,,"Set in the fictional Dublin suburb of Barrytown, Bimbo is a baker who loses his job after being made redundant. Bimbo then acquires the help of his best friend, Larry, to set up a successful burger van.",Stephen Frears,Roddy Doyle,Colm Meaney|Donal O'Kelly|Ger Ryan
1242,,,,,,
1243,6.0|11K,,A reporter is on the trail of a vampiric murderer who travels by plane.,Mark Pavia,Stephen King|Mark Pavia|Jack O'Donnell,Miguel Ferrer|Julie Entwisle|Dan Monahan
1244,5.6|28K,,A Hostage Negotiator teams up with a Sharpshooter to bring down a dangerous jewel thief.,Thomas Carter,Randy Feldman,Eddie Murphy|Michael Rapaport|Kim Miyori
1245,6.9|16K,,"Two friends try to kick their drug addiction after a friend dies from an overdose, when they try to enroll in a detox program, things quickly go wrong.",Vondie Curtis-Hall,Vondie Curtis-Hall,Tupac Shakur|Tim Roth|Thandiwe Newton
1246,5.6|6.6K,,"On the run from authorities, a sleazy courier poses as a Scout leader on a camping trip. But he has no idea what he's in for when he must actually take charge of a group of kids.",Greg Beeman,John Jordan|Bobby Farrelly|Tommy Swerdlow,Daniel Stern|Jon Polito|Brad Sullivan
1247,,,,,,
1248,5.2|21K,"2,825|up|2,297","After a bike accident, a young boy inadvertently gains possession of a check for $1 million and proceeds to spend it, unaware that the gangsters it belongs to are in pursuit.",Rupert Wainwright,Blake Snyder|Colby Carr,Brian Bonsall|Karen Duffy|James Rebhorn
1249,6.2|15K,,"Doug's a concierge at a luxury hotel on Manhattan. He saves all his tips towards his plan for a hotel. A potential investor seduces the girl, Doug loves, with false promises of leaving his wife. Doug's dilemma: hotel project or girl?",Barry Sonnenfeld,Mark Rosenthal|Lawrence Konner,Michael J. Fox|Gabrielle Anwar|Anthony Higgins
1250,4.8|2.3K,,A martial arts instructor comes to the defense of a schoolteacher who has taken a stand against a local white supremacist organization.,Phillip Rhee,Barry Gray|Deborah Scott,Phillip Rhee|Christopher McDonald|Gina Gershon
1251,6.3|722,,"The story of Pascal Ichak, a larger-than-life French traveller, bon vivant, and chef, who falls in love with Georgia and a Georgian princess in the early 1920s. All is well until the arrival of the Red Army of the Caucasus, as the Soviet revolution that has swept Russian comes to Georgia. Told as a flashback from the present, as a French-Georgian man whose mother was ...",Nana Dzhordzhadze,Irakli Kvirikadze|André Grall|Nana Dzhordzhadze,Pierre Richard|Nino Kirtadze|Micheline Presle
1252,,,,,,
1253,5.0|1.2K,,John Netherwood and his wife Leann are fugitives who are both wanted for murder. They have a young daughter named Janie. John and Leann are in the process of robbing a house when the two residents of the house show up. John kills the two residents and heads back to the car with Leann - only to discover the police waiting for them. John and Leann get away after a cop s...,Wesley Strick,Michael Auerbach,Daryl Hannah|Keith Carradine|Moira Kelly
1254,4.8|10K,,Two lifelong fishing buddies must overcome a series of obstacles to enjoy their ultimate fishing trip.,Christopher Cain,Jill Mazursky|J.J. Abrams,Joe Pesci|Danny Glover|Rosanna Arquette
1255,6.4|721,,"Ivan is the fierce patriarch of a family of Croatian refugees in Auckland. Nina is his daughter, ready to live on her own, despite his angry objections. Eddie is the Maori she takes as her lover. Nina works at a restaurant where Eddie cooks. For a price, she agrees to marry a Chinese, another restaurant employee, so that he (and his Chinese wife) can establish permane...",Gregor Nicholas,Gregor Nicholas|Johanna Pigott|James Salter,Aleksandra Vujcic|Julian Arahanga|Rade Serbedzija
1256,6.3|364,,"Jack and Judy are husband and wife, and Howard is Judys father. They live in some fictional undemocratic and repressive country, and tell us a story about their lives, mostly from Jack's point of view.",David Hare,Wallace Shawn,Mike Nichols|Miranda Richardson|David de Keyser
1257,6.3|364,,"Jack and Judy are husband and wife, and Howard is Judys father. They live in some fictional undemocratic and repressive country, and tell us a story about their lives, mostly from Jack's point of view.",David Hare,Wallace Shawn,Mike Nichols|Miranda Richardson|David de Keyser
1258,5.8|7.7K,,"An actor poses as a lawyer to help his sick friend, and problems develop.",Jonathan Lynn,Sara Bernstein|Gregory Bernstein|Cliff Gardner,Michael Richards|Jeff Daniels|Charlize Theron
1259,,,,,,
1260,6.5|16K,,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",Agnieszka Holland,Christopher Hampton,Leonardo DiCaprio|David Thewlis|Romane Bohringer
1261,6.2|437,,"In a small village on the border of Northern Ireland and The Republic of Ireland, the relationship between a short tempered policeman and his rebellious son becomes even more strenuous when the young man falls for a ""wrong"" girl.",Peter Yates,Shane Connaughton,Albert Finney|Matt Keeslar|Victoria Smurfit
1262,6.7|3.8K,,"Just as Amelia thinks she's over her anxiety and insecurity, her best friend announces her engagement, bringing her anxiety and insecurity right back.",Nicole Holofcener,Nicole Holofcener,Catherine Keener|Anne Heche|Amy Braverman
1263,6.1|9.5K,,"Legs Sadovsky gets four other high school girls to think for themselves and react to a teacher's sexual harassment, which gets them suspended. They bond, and rebel, at an abandoned house.",Annette Haywood-Carter,Joyce Carol Oates|Elizabeth White,Hedy Burress|Angelina Jolie|Jenny Lewis
1264,6.7|48K,,"Nick's wife's in bed with his boss. He later gets a gun to his head by a carjacker but steps on the gas pedal. They end up friends after adventures together - holdups, burglary, reckless driving, revenge etc. Twists follow.",Steve Oedekerk,Steve Oedekerk,Martin Lawrence|Tim Robbins|John C. McGinley
1265,5.6|1K,,Only in America. Only in Hollywood. Only in Beverly Hills could a young man with a dream make his way to the stars. Carlos is a precocious 18 year-old who returns to America from Mexico with dreams of becoming a movie star.,Miguel Arteta,Miguel Arteta|Matthew Greenfield,Douglas Spain|Efrain Figueroa|Kandeyce Jorden
1266,,,,,,
1267,6.9|23K,,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",Spike Lee,Richard Price|Spike Lee,Harvey Keitel|John Turturro|Delroy Lindo
1268,7.2|41K,"3,429|up|103","After hearing stories of her, a passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife.",Roman Polanski,Pascal Bruckner|Roman Polanski|Gérard Brach,Hugh Grant|Kristin Scott Thomas|Emmanuelle Seigner
1269,7.1|16K,,A middle-aged playboy becomes fascinated by the daughter of a private detective who has been hired to entrap him with the wife of a client.,Billy Wilder,Billy Wilder|I.A.L. Diamond|Claude Anet,Gary Cooper|Audrey Hepburn|Maurice Chevalier
1270,5.6|6.2K,,A once-popular actor who now runs a talent agency specializing in child acts is trying to discover the next star. He gets more than he bargained for when he recruits a child pickpocket.,James Lapine,Marc Lawrence,Michael J. Fox|Christina Vidal|Nathan Lane
1271,4.5|14K,,"Sick of the neglect he receives from his mom and dad, a young boy leaves home and travels the world in search of new parents.",Rob Reiner,Alan Zweibel|Andrew Scheinman,Elijah Wood|Bruce Willis|Jason Alexander
1272,6.2|37,,"Andie Norman (Kim Wayans) is a young publisher who gets a chance to remake a dry-text on ""assertive communication skills"" into a best selling book to be titled 'Talking About Sex'. Andie's boyfriend, Doug Penn (Daniel Beer), is a good guy whose sex life with Andie begins tapering off as he finds watching sports on TV more interesting. Andie assembles her female friend...",Aaron Speiser,Carl Nelson|Aaron Speiser,Kim Wayans|Daniel Beer|Daria Lynn
1273,5.2|25K,"2,921|down|393","A color-blind psychiatrist is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that he begins having intense sexual encounters with.",Richard Rush,Billy Ray|Matthew Chapman,Bruce Willis|Jane March|Rubén Blades
1274,4.1|52K,,"Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on ""their"" land.",Fred Dekker,Edward Neumeier|Michael Miner|Frank Miller,Robert John Burke|Nancy Allen|Mario Machado
1275,5.9|745,,"A slick New York assassin accepts an unusual hit: a woman who not only is expecting him, but who is more than willing to be murdered.",Mark Malone,Gordon Melbourne|Mark Malone,Anthony LaPaglia|Mimi Rogers|Matt Craven
1276,5.9|1.8K,,"A white school teacher takes over a talented, but undisciplined black high school basketball team and turns them into a winning team.",Steve Gomer,Seth Zvi Rosenfeld|Kathleen McGhee-Anderson,Rhea Perlman|Fredro Starr|Carol Kane
1277,6.9|17K,,"Desperation drives four inner-city women to bank robbery in Los Angeles, then they start mistrusting each other.",F. Gary Gray,Takashi Bufford|Kate Lanier,Jada Pinkett Smith|Queen Latifah|Vivica A. Fox
1278,6.8|30K,"4,027|down|462","The true story of Selena, a Texas-born Tejano singer who rose from cult status to performing at the Astrodome, as well as having chart-topping albums on the Latin music charts.",Gregory Nava,Gregory Nava,Jennifer Lopez|Edward James Olmos|Jon Seda
1279,6.3|7.7K,,Three brothers who are obsessed with animals are given permission from their parents to travel around America with a camera documenting wildlife.,William Dear,David Michael Wieger,Jonathan Taylor Thomas|Devon Sawa|Scott Bairstow
1280,6.4|9.4K,,"After murdering an undercover DEA agent, two corrupt cops scramble to cover up what they've done.",Jim Kouf,Jim Kouf,Jim Belushi|Tupac Shakur|Lela Rochon
1281,,,,,,
1282,7.0|19K,,"Becoming an orphan in 1935, Collin moves to his dad's cousins Verena and Dolly. Verena is a rich, bossy businesswoman. Dolly, Collin and the maid revolt, moving to a tree house.",Charles Matthau,Truman Capote|Stirling Silliphant|Kirk Ellis,Piper Laurie|Sissy Spacek|Walter Matthau
1283,6.1|9.2K,,"A failed gambler, intent on meeting a rich widow, tricks his widowed brother-in-law into boarding a cruise ship as dance hosts.",Martha Coolidge,Robert Nelson Jacobs,Jack Lemmon|Walter Matthau|Dyan Cannon
1284,6.1|9.5K,,Two parents deal with the effects when their son is accused of murdering his girlfriend.,Barbet Schroeder,Rosellen Brown|Ted Tally,Meryl Streep|Liam Neeson|Edward Furlong
1285,6.0|2.8K,,"A mysterious young woman speaking a strange language shows up in an English village, where she is taken in by aristocrats who assume she is a foreign princess",Michael Austin,Michael Austin|John Wells,Phoebe Cates|Jim Broadbent|Wendy Hughes
1286,7.5|7.6K,,"A ballet dancer and a showgirl fake a marriage for publicity purposes, then fall in love.",Mark Sandrich,Allan Scott|Ernest Pagano|P.J. Wolfson,Fred Astaire|Ginger Rogers|Edward Everett Horton
1287,2.7|8.7K,,A trained chimpanzee plays third base for a minor-league baseball team.,Bill Couturié,Ken Richards|Janus Cercone|David Mickey Evans,Matt LeBlanc|Jayne Brook|Gene Ross
1288,,,,,,
1289,6.6|5.4K,,A young American woman becomes a nanny in the home of a recent British widower.,Tim Sullivan,Tim Sullivan,Richard E. Grant|Samantha Mathis|Judi Dench
1290,6.7|797,,"Adaptation of Chekhov's ""Uncle Vanya"" set in rural Australia in the 1920's. Jack Dickens and his niece Sally run the family farm to support brother-in-law Alexander as a (supposedly brilliant) literary critic in London. Action begins when Alexander returns with his beautiful young wife Deborah, revealing himself as an arrogant failure and wanting to sell the farm out ...",Michael Blakemore,Michael Blakemore|Anton Chekhov,Sam Neill|Greta Scacchi|John Hargreaves
1291,5.3|10K,,Two over-loyal Celtic fans kidnap their opponent's star player in order to guarantee their team the championship.,Tom DeCerchio,Judd Apatow|Colin Quinn,Damon Wayans|Daniel Stern|Dan Aykroyd
1292,5.3|5.7K,,A bumbling fairy godfather tries to grant a girl's wish that her cabby father lands a Broadway role.,Michael Ritchie,Jeff Rothberg,Martin Short|Mara Wilson|Robert Pastorelli
1293,5.3|2.9K,,"Spencer Griffith's life changes when a meteor falls into a local junkyard, and he finds a Cybersuit, an exoskeleton with AI from another galaxy. When Spencer puts on the Cybersuit he becomes a different kind of person.",Manny Coto,Manny Coto,Joseph Mazzello|Joey Simmrin|Alex Daniels
1294,6.5|617,,"A documentary focusing on the life of novelist and philosopher Ayn Rand, the author of the bestselling novels The Fountainhead and Atlas Shrugged and originator of the Objectivist philosophy.",Michael Paxton,Michael Paxton,Sharon Gless|Michael S. Berliner|Harry Binswanger
1295,4.5|1.1K,,Redmond is on a spiritual quest in NYC. Uncle Sam gives him a bag to deliver. That and his friend Stretch bring him in the middle of shoot-outs - not good for his angst. He meets a cute stewardess.,Matthew Harrison,Kevin Corrigan|Matthew Harrison,Kevin Corrigan|Linda Fiorentino|Michael Rapaport
1296,6.5|860,,"A passionately committed young dancer is forced to re-examine his career and life when faced with death, finding hope through an older man who becomes his lover, mentor and companion.",Nancy Meckler,Martin Sherman,Jason Flemyng|Antony Sher|Dorothy Tutin
1297,6.0|4.9K,,"Two people meet on a flight to Sydney. Although both are engaged to others, they fall in love during their evacuation after a forced landing, and agree to meet in New York City three months later if the attraction lasts.",Glenn Gordon Caron,Mildred Cram|Leo McCarey|Delmer Daves,Warren Beatty|Annette Bening|Katharine Hepburn
1298,,,,,,
1299,7.1|7.6K,,A couple's big dreams give way to a life full of unexpected sadness and unexpected joy.,George Stevens,Morrie Ryskind|Martha Cheavens,Cary Grant|Irene Dunne|Beulah Bondi
1300,4.8|2.9K,,"Two strangers, whose paths are always crossing, finally meet when fate steps in.",Scott Winant,Winnie Holzman,Jeanne Tripplehorn|Dylan McDermott|John Plumpis
1301,6.8|76K,"2,907|up|385",Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.,Ivan Reitman,Len Blum|Daniel Goldberg|Harold Ramis,Bill Murray|John Candy|Harold Ramis
1302,5.9|520,,"High School basketball coach, Dinah Groshardt, falls for the school secretary, Carly Lumpkin, and upsets the entire school in the process.",Julia Dyer,Gretchen Dyer,Connie Nelson|Dee Hennigan|Gary Mitchell Carter
1303,5.8|19K,,An ex-con and his devoted wife must flee from danger when a heist doesn't go as planned.,Roger Donaldson,Jim Thompson|Walter Hill|Amy Holden Jones,Alec Baldwin|Kim Basinger|Michael Madsen
1304,4.2|236,,"A Japanese detective, illegally residing in the U.S., finds himself blackmailed by the NYPD internal force and sent undercover to break a ring of Asian gun dealers.",Tôru Murakawa,Hiroshi Kashiwabara|Jiro Ueno,Tôru Nakamura|Chad McQueen|Mira Sorvino
1305,5.6|6.1K,,"To embarrass his rival, a scheming senator uses nitwit Ohio teens who are invited to a Washington gathering on educational failure.",Kelly Makin,Roger Kumble|I. Marlene King,Matt Frewer|Valerie Mahaffey|Lawrence Dane
1306,4.7|2.3K,,"A struggling American writer (England) and a fellow American expatriate (Mandylor) begin a sordid affair among the chaos and discord of 1940 Paris, France on the brink of World War II.",Zalman King,Anaïs Nin|Elisa M. Rothstein|Patricia Louisianna Knop,Audie England|Costas Mandylor|Eric da Silva
1307,7.6|302,,"A biography of the Portuguese-Brazilian singer Carmen Miranda, whose most distinctive feature was her tutti frutti hat. She came to the US as the ""Brazilian Bombshell"" and was a Broadway and Hollywood star in the 1940s.",Helena Solberg,Helena Solberg,Helena Solberg|Eric Barreto|Cynthia Adler
1308,5.6|161,,"Gena is an average woman who is torn between her current boyfriend's desire to marry her and start a family, and the unexpected arrival of an old boyfriend wanting to pick up where they left off. To further complicate matters, she might be pregnant herself. In the mist of this unsettled personal life, Gena leaves her two men to attend a baby shower party for a girl fr...",Victoria Foyt|Henry Jaglom,Victoria Foyt|Henry Jaglom,Victoria Foyt|Matt Salinger|Frances Fisher
1309,6.7|913,,"A poignant romantic drama examines the life of gay 26 year old, ex-monk, school teacher living in Manhattan. When he meets a man at a gay bar, they connect and are soon living together. Unfortunately their views on monogamy don't match.",Christopher Larkin,Joseph Coencas|Christopher Larkin,Robert McLane|Curt Gareth|Bo White
1310,6.9|3.8K,,"During WWII, a platoon of American soldiers trudge through the Italian countryside in search of a bridge they have been ordered to blow up, encountering danger and destruction along the way.",Lewis Milestone,Harry Brown|Robert Rossen,Dana Andrews|Richard Conte|George Tyne
1311,5.9|11K,,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",Forest Whitaker,Terry McMillan|Ron Bass,Whitney Houston|Angela Bassett|Loretta Devine
1312,,,,,,
1313,6.1|8.1K,,A recently released ex-con gets involved in a fake kidnapping scheme that turns very real.,Volker Schlöndorff,James Hadley Chase|E. Max Frye,Woody Harrelson|Elisabeth Shue|Gina Gershon
1314,6.2|12K,,"A homeless man is hired as a survival guide for a group of wealthy businessmen on a hunting trip in the mountains, unaware that they are killers who hunt humans for sport, and that he is their new prey.",Ernest R. Dickerson,Eric Bernt,Rutger Hauer|Ice-T|Charles S. Dutton
1315,6.4|13K,"4,817|up|1,134",Two working class brothers court three wealthy and beautiful sisters in a small Illinois town.,Pat O'Connor,Sue Miller|Ken Hixon,Liv Tyler|Jennifer Connelly|Joaquin Phoenix
1316,6.7|42K,"4,014|down|865",The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.,Robert Redford,Nick Evans|Eric Roth|Richard LaGravenese,Robert Redford|Kristin Scott Thomas|Sam Neill
1317,6.5|1K,,"A multi-dimensional drama about a North Carolina farmer in April 1815. August King, a widower, is on his way home after selling his produce and purchasing the stock and goods he will need for the coming year. On his journey, he comes upon a 17-year-old runaway slave and he he must decided to violate the law and help her get to freedom or leave her to be hunted down an...",John Duigan,John Ehle,Jason Patric|Thandiwe Newton|Larry Drake
1318,6.9|342,,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's unveilings to another. Extended footage looks at Versace and Armani in Milan, Galliano, Gaultier, and Langerfeld in Paris, and Isaac Mizrahi in New York. With Kate Moss, Naomi Campb...",Robert Leacock,Christy Turlington|Azzedine Alaïa|Giorgio Armani,Robert Leacock
1319,6.2|972,,"While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality of memory while creating a heartfelt portrait of a boy's life in a rural 1940s Southern town.",Terence Davies,Terence Davies|John Schulte|John Kennedy Toole,Jacob Tierney|Drake Bell|Gena Rowlands
1320,5.5|221,,"In New Mexico, the widow and former teacher Katherine Samuel reluctantly hires the lonely mathematician and genius Archie Landrum to be her gardener and soon they become good friends. When her estranged daughter Lucille ""Lucy"" Samuel, who left the college to become a television star in New York, decides to spend a couple of days with her mother, Archie becomes obsesse...",Ross Kagan Marks,Mark Medoff,Blythe Danner|Frank Whaley|Sheryl Lee
1321,6.1|100K,"3,734|down|768","Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",Roger Allers|Jill Culton|Anthony Stacchi,Steve Bencich|Ron J. Friedman|Nat Mauldin,Ashton Kutcher|Martin Lawrence|Debra Messing
1322,6.1|1.1K,,"Lola is pregnant. But she does not know who the father is: Jamal, the black muslim, son of diplomats, or Felix, the pennyless jewish messenger. Jamal and Felix meet at Lola's, and the race begins.",Mathieu Kassovitz,Mathieu Kassovitz,Julie Mauduech|Hubert Koundé|Mathieu Kassovitz
1323,6.8|234,,"Emerging from the Chinese film renaissance of the 1990s (Raise the Red Lantern, Farewell My Concubine) this haunting folk tale set in rural China in the 1920s tells the story of a young woman forces to grieve the death of a man she was destined to marry. Combining astonishing visuals with intriguing plot turns, this moving drama is not to be missed. When the spirited ...",Jianxin Huang,Zhengguang Yang|Jia Pingau,Shih Chang|Lan Wang|Yumei Wang
1324,4.5|565,,"Seven teenagers retreat to a country house for the weekend to make their epic, an impossibly ambitious Celtic fantasy. As the making of the video drifts from playful hilarity to argument, frustrated ambition and accusation, intimate details seep into the script and the gap between fact and fiction closes, foreshadowing later events. When the group decides to lift the ...",Anna Campion,Anna Campion,Oliver Milburn|Dearbhla Molloy|Danny Cunningham
1325,5.8|850,,"Chekov's Uncle Vanya, transposed to turn-of-the-century North Wales, where the peace and tranquility of a country house is disturbed by the arrival of the estate's tyrannical owner and his American wife.",Anthony Hopkins,Julian Mitchell|Anton Chekhov,Anthony Hopkins|Leslie Phillips|Kate Burton
1326,4.9|3.8K,,25 y.o. Patty is thrown off her horse and knocked out. Students from a boys' boarding school find her and smuggle her to John's room at the school as cops are looking for her at home.,Stacy Cochran,Stacy Cochran|James Salter,Winona Ryder|Lukas Haas|John C. Reilly
1327,6.2|2.4K,,"A beautiful young dentist (Ormond) working in a tough British prison starts to become attracted to a violent inmate (Roth) after the break-up of her marriage, and embarks upon an illicit affair with him, with terrible consequences for all.",Angela Pope,Frank Deasy,Julia Ormond|Tim Roth|Keith Allen
1328,5.0|2.3K,,"Chile 1973 is ruled by the dictator Pinochet. The wealthy don't see the violence, terror, executions etc. including Irene. She's engaged to an officer in the fascist military. She meets Francisco who opens her eyes to truth and love.",Betty Kaplan,Isabel Allende|Donald Freed,Antonio Banderas|Jennifer Connelly|Stefania Sandrelli
1329,5.9|602,,"John came to Hollywood to get that one big break in life. Years have passed since and all he has to show for are a menial job, unpaid bills and airhead friends and he's getting sick of it all. Is there a way out of this downward spiral?",George Hickenlooper,John Enbom|George Hickenlooper,Rory Cochrane|Sean Astin|Kyra Sedgwick
1330,7.3|1K,,"Romania in the 1920s. Marie-Thérèse Von Debretsy (Dame Kristin Scott Thomas) refuses the advances of her husband's commanding officer. As a result, the cosmopolitan family is reassigned to a dark and dangerous outpost on the frontier between Bulgaria and Romania where their relationship and humanity are severely tested.",Lucian Pintilie,Lucian Pintilie|Petru Dumitriu,Kristin Scott Thomas|Claudiu Bleont|Olga Tudorache
1331,8.6|30,,,Yale Strom,Leopold Kozlowski,Yale Strom
1332,6.9|163,,"May, 1946, in Paris young poet Jacques Prevel meets Antonin Artaud, the actor, artist and writer just released from a mental asylum. Over ten months, we follow the mad Artaud from his cruel coaching of an actress in his ""theatre of cruelty"" to his semi-friendship with Prevel who buys him drugs and hangs on his every word. Meanwhile, Prevel divides his time between Jan...",Gérard Mordillat,Gérard Mordillat|Jacques Prevel|Jérôme Prieur,Sami Frey|Marc Barbé|Julie Jézéquel
1333,5.5|298,,"Three young and good-looking brothers live with and support their parents in Manila; they dance at the male Club Exotica and work as ""call boys."" Joel has a wife and child; he and Dennis are saving money to buy back lost family land. Sonny has dropped out of university and sees dancing as a way to make money for now. Joel has a regular boyfriend as well; Sonny spends ...",Mel Chionglo,Ricky Lee,Alex Del Rosario|Gandong Cervantes|Lawrence David
1334,5.4|782,,"Mercedes is a taxi dancer who wants to be an actress. She's involved with the married Harry, who considers himself a respected actor. Ernesto is in love with Mercedes, but he doesn't dance or have money.",Alexandre Rockwell,Sergei Bodrov|Alexandre Rockwell,Rosie Perez|Harvey Keitel|Anthony Quinn
1335,5.8|3.9K,,Long-repressed feelings of bitterness and betrayal explode when three inner-city losers plot the robbery of a valuable coin in a seedy second-hand junk shop.,Michael Corrente,David Mamet,Dustin Hoffman|Dennis Franz|Sean Nelson
1336,3.1|25K,,"A troubled kid inadvertently releases a genie, who must grant him any three wishes he requests.",Paul Michael Glaser,Paul Michael Glaser|Christian Ford|Roger Soffer,Shaquille O'Neal|Francis Capra|Ally Walker
1337,5.6|7.6K,,A motivational speaker discovers that the inheritance his father left for him is in the form of an elephant.,Howard Franklin,Roy Blount Jr.|Pen Densham|Garry Williams,Bill Murray|Matthew McConaughey|Jerry Adler
1338,6.3|500,,"A tale of power, passion, and obsession set in a politically torn Eastern European country.",Nicolas Roeg,Stephen Dobyns|Allan Scott,Sonia Braga|Patrick Malahide|Ion Caramitru
1339,6.7|165,,"What would it have happened if...? Italian director Maurizio Nichetti replies to this question in this humorous film, where he plays six different roles who meet one another in a way or another during a night.",Maurizio Nichetti,Maurizio Nichetti|Laura Fischetto,Maurizio Nichetti|Elena Sofia Ricci|Amanda Sandrelli
1340,4.7|119,,"Lonely Kansas housewife Karen Webb despondent about her love life, her husband Jim Webb coldness and philandering, has a strong urge to change her future. Karen discovers the truth about Jim and sets out to commit suicide by carbon monoxide poisoning in her garage, but her three dollar daily allowance for gasoline runs out before she expires. During one of her gas sta...",Alex Graves,Alex Graves,Jennifer Taylor|Aaron Shields|Robert Peterson
1341,7.1|425,,"A young poet living in the North Wales countryside competes for the most coveted prize of all in Welsh Poetry - that of the chair of the National Eisteddfod, a tradition dating back a hundred years. Before the winner is announced Hedd Wyn gets sent to fight with the English in the trenches of the First World War",Paul Turner,Alan Llwyd,Huw Garmon|Catrin Fychan|Ceri Cunnington
1342,5.1|3K,,A group of college students break into an abandoned convent and become possessed by demonic spirits.,Mike Mendez,Chaton Anderson,Joanna Canton|Richard Trapp|Dax Miller
1343,6.4|60,,"This film tells two interwoven stories of two single-parent families in a poor, racially-mixed neighborhood in Brooklyn. The first story is about a young black man (with aspirations of getting away from his friends who are involved in drugs) who falls in love with a latino girl (who is heading off to college on a full scholarship). The second is about their parents, (...",John Rubino,John Rubino,Lawrence Gilliard Jr.|Wendell Holmes|Barbara Gonzalez
1344,7.5|257K,"1,872|down|318","Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",Tom Tykwer,Andrew Birkin|Bernd Eichinger|Tom Tykwer,Ben Whishaw|Dustin Hoffman|Alan Rickman
1345,7.1|252,,Guan Jian wants to report the murder of his father who died 10 years ago. The alleged murderer whom Guan Jian accuses of the crime is his own mother.,Ho Yim,Hing-Dong Wong|Ho Yim,Gaowa Siqin|Tsung-Hua Tou|Jingwu Ma
1346,6.8|9K,,"The classic Disney character Goofy is a single father raising his son, Max, in Spoonerville. Pete, a frequent antagonist from the old cartoons, lives next door with his family.",,,
1347,7.8|3.6K,,A kabuki theatre-inflected story about a poor village whose people have to be carried to a nearby mountain to die once they get old.,Keisuke Kinoshita,Shichirô Fukazawa|Keisuke Kinoshita,Kinuyo Tanaka|Teiji Takahashi|Yûko Mochizuki
1348,5.7|192,,"Camille, a mercurial César-winning actress, has seen better times. Estranged from her husband, she's with her children only every other weekend. It's her weekend, but her agent has booked her to MC a Rotary club dinner in Vichy. She takes them with her, and when her husband learns this, he demands to pick them up at once. She bolts in a rented car to the seaside, tryi...",Nicole Garcia,Anne-Marie Etienne|Jacques Fieschi|Nicole Garcia,Nathalie Baye|Joachim Serreau|Félicie Pasotti
1349,6.5|176,,"The movie tells the little stories of a group of families who live in the same building in Rome as seen from the eyes of Sandrino, a little kid who is awaiting for a total eclipse of the sun, that really happened during summer of '61, and it was was fully visible from Italy. He sees his family life, a young girl who is about to marry a man she doesn't love, an old man...",Leone Pompucci,Filippo Pichi|Leone Pompucci|Paolo Rossi,Carla Benedetti|Matteo Fadda|Giacomo Fadda
1350,7.2|289,,A story of a corrupt party official who attempts to sell an apartment building he has appropriated from the original owner and the struggles of the tenants to prevent themselves being thrown onto the street.,Junli Zheng,Baichen Chen|Gu Liu|Fu Shen,Dan Zhao|Yinyan Wu|Daolin Sun
1351,4.5|250,,"Steve Hunter (Billy Campbell) and Megan Forrester (Jennifer Gray), unbeknownst to them, are being guided and ""advised"" by one of Cupid's caseworkers (Tim Curry), who has been struggling to get Steve and Megan together for many lifetimes. Cupid might actually have a chance this lifetime if it weren't for John Reed (Adam Baldwin), Megan's old boyfriend, who is determine...",Peter Shaner,Peter Shaner,Billy Campbell|Jennifer Grey|Tim Curry
1352,6.5|218,,"Beautiful, detached, laconic, consumptive Lily Brest is a streetwalker with few clients. She loves her idle boyfriend Raoul who gambles away what little she earns. The town's power broker, called the rich Jew, discovers she is a good listener, so she's soon busy. Raoul imagines grotesque sex scenes between Lily and the Jew; he leaves her for a man. Her parents, a bitt...",Daniel Schmid,Rainer Werner Fassbinder|Daniel Schmid,Ingrid Caven|Rainer Werner Fassbinder|Annemarie Düringer
